code,name,line,address,latitude,longitude,type,,insert,insert query,"현재 위도,경도,지도 값 비어있으면 안나오게 필터 걸어놓음"
2516,발산,5,서울특별시 강서구 공항대로 지하 267,37.558598,126.837668,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.558598, 126.837668,  ""발산"",  ""서울특별시 강서구 공항대로 지하 267"", 2516, ""5"");",
225,방배,2,서울특별시 서초구 방배로 지하 80,37.481426,126.997596,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.481426, 126.997596,  ""방배"",  ""서울특별시 서초구 방배로 지하 80"", 225, ""2"");",
2557,방이,5,서울특별시 송파구 양재대로 지하 1127,37.508857,127.126133,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.508857, 127.126133,  ""방이"",  ""서울특별시 송파구 양재대로 지하 1127"", 2557, ""5"");",
1901,방학,1,서울특별시 도봉구 도봉로150다길 3,37.667503,127.044273,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.667503, 127.044273,  ""방학"",  ""서울특별시 도봉구 도봉로150다길 3"", 1901, ""1"");",
2511,방화,5,서울특별시 강서구 금낭화로 지하 132,37.577446,126.812741,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.577446, 126.812741,  ""방화"",  ""서울특별시 강서구 금낭화로 지하 132"", 2511, ""5"");",
1405,배방,1,충청남도 아산시 배방읍 온천대로 1967,36.777629,127.052991,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 36.777629, 127.052991,  ""배방"",  ""충청남도 아산시 배방읍 온천대로 1967"", 1405, ""1"");",
1273,백마,K,경기도 고양시 일산동구 경의로 318,37.658239,126.794461,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.658239, 126.794461,  ""백마"",  ""경기도 고양시 일산동구 경의로 318"", 1273, ""K"");",
1954,백석,3,경기도 고양시 일산동구 중앙로 지하 1042,37.643114,126.78787,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.643114, 126.78787,  ""백석"",  ""경기도 고양시 일산동구 중앙로 지하 1042"", 1954, ""3"");",
1325,백양리,G,강원도 춘천시 남산면 북한강변길 690,37.830779,127.58933,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.830779, 127.58933,  ""백양리"",  ""강원도 춘천시 남산면 북한강변길 690"", 1325, ""G"");",
1807,백운,1,인천광역시 부평구 마장로55번길 14,37.483664,126.707704,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.483664, 126.707704,  ""백운"",  ""인천광역시 부평구 마장로55번길 14"", 1807, ""1"");",
2633,버티고개,6,서울특별시 중구 다산로 지하 38,37.548013,127.007055,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.548013, 127.007055,  ""버티고개"",  ""서울특별시 중구 다산로 지하 38"", 2633, ""6"");",
1457,범계,4,경기도 안양시 동안구 동안로 지하 130,37.389793,126.950806,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.389793, 126.950806,  ""범계"",  ""경기도 안양시 동안구 동안로 지하 130"", 1457, ""4"");",
4603,범골,U,경기도 의정부시 신흥로 141,37.728755,127.04353,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.728755, 127.04353,  ""범골"",  ""경기도 의정부시 신흥로 141"", 4603, ""U"");",
1313,별내,G,경기도 남양주시 경춘북로 375,37.64202,127.12684,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.64202, 127.12684,  ""별내"",  ""경기도 남양주시 경춘북로 375"", 1313, ""G"");",
1716,병점,1,경기도 화성시 떡전골로 97,37.207503,127.032731,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.207503, 127.032731,  ""병점"",  ""경기도 화성시 떡전골로 97"", 1716, ""1"");",
2744,보라매,7,서울특별시 동작구 상도로 지하 2,37.499872,126.920428,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.499872, 126.920428,  ""보라매"",  ""서울특별시 동작구 상도로 지하 2"", 2744, ""7"");",
2639,보문,6,서울특별시 성북구 보문로 지하 116,37.585286,127.019381,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.585286, 127.019381,  ""보문"",  ""서울특별시 성북구 보문로 지하 116"", 2639, ""6"");",
4712,보문,UI,,37.585286,127.019381,,,,,
1914,보산,1,경기도 동두천시 평화로 2539,37.913702,127.057277,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.913702, 127.057277,  ""보산"",  ""경기도 동두천시 평화로 2539"", 1914, ""1"");",
1861,보정,B,경기도 용인시 기흥구 용구대로 지하 2560,37.312752,127.108196,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.312752, 127.108196,  ""보정"",  ""경기도 용인시 기흥구 용구대로 지하 2560"", 1861, ""B"");",
4514,보평,E,경기도 용인시 처인구 경안천로 313,37.258965,127.218457,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.258965, 127.218457,  ""보평"",  ""경기도 용인시 처인구 경안천로 313"", 4514, ""E"");",
1031,복정,B,서울특별시 송파구 송파대로 지하 6,37.470047,127.126662,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.470047, 127.126662,  ""복정"",  ""서울특별시 송파구 송파대로 지하 6"", 1031, ""B"");",
2821,복정,8,서울특별시 송파구 송파대로 지하 6,37.470047,127.126662,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.470047, 127.126662,  ""복정"",  ""서울특별시 송파구 송파대로 지하 6"", 2821, ""8"");",
1401,봉명,1,충청남도 천안시 동남구 차돌로 51,36.801215,127.135763,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 36.801215, 127.135763,  ""봉명"",  ""충청남도 천안시 동남구 차돌로 51"", 1401, ""1"");",
4129,봉은사,9,서울특별시 강남구 봉은사로 지하 601,37.514219,127.060245,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.514219, 127.060245,  ""봉은사"",  ""서울특별시 강남구 봉은사로 지하 601"", 4129, ""9"");",
229,봉천,2,서울특별시 관악구 남부순환로 지하 1721,37.482362,126.941892,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.482362, 126.941892,  ""봉천"",  ""서울특별시 관악구 남부순환로 지하 1721"", 229, ""2"");",
2648,봉화산,6,서울특별시 중랑구 신내로 지하 232,37.617283,127.091401,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.617283, 127.091401,  ""봉화산"",  ""서울특별시 중랑구 신내로 지하 232"", 2648, ""6"");",
1815,부개,1,인천광역시 부평구 수변로 22,37.488418,126.74109,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.488418, 126.74109,  ""부개"",  ""인천광역시 부평구 수변로 22"", 1815, ""1"");",
1509,부발,KK,,37.260192,127.490277,,,,,
1804,부천,1,경기도 부천시 소사구 부천로 1,37.48405,126.782686,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.48405, 126.782686,  ""부천"",  ""경기도 부천시 소사구 부천로 1"", 1804, ""1"");",
2757,부천시청,7,경기도 부천시 원미구 길주로 지하 202,37.504631,126.763538,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.504631, 126.763538,  ""부천시청"",  ""경기도 부천시 원미구 길주로 지하 202"", 2757, ""7"");",
2754,부천종합운동장,7,경기도 부천시 원미구 길주로 지하 502,37.50538,126.797337,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.50538, 126.797337,  ""부천종합운동장"",  ""경기도 부천시 원미구 길주로 지하 502"", 2754, ""7"");",
1806,부평,1,인천광역시 부평구 광장로 16,37.489493,126.724805,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.489493, 126.724805,  ""부평"",  ""인천광역시 부평구 광장로 16"", 1806, ""1"");",
3120,부평,I,인천광역시 부평구 광장로 지하 15,37.489493,126.724805,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.489493, 126.724805,  ""부평"",  ""인천광역시 부평구 광장로 지하 15"", 3120, ""I"");",
